transaction_id,txn_date,from_account_id,to_account_id,external_party,external_country,amount,channel,description
T00048,2026-06-24,,A0002,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00049,2026-06-29,A0002,,Grocery,,285,CARD,Everyday spend
T00050,2026-07-04,A0002,,Rent,,120,CARD,Everyday spend
T00051,2026-06-26,A0002,,Grocery,,818,CARD,Everyday spend
T00052,2026-04-01,,A0003,EMPLOYER PAYROLL,,4230.77,ACH,Salary
T00053,2026-04-06,A0003,,Rent,,448,ACH,Everyday spend
T00054,2026-04-10,A0003,,Grocery,,502,CARD,Everyday spend
T00055,2026-04-05,A0003,,Utility Co,,105,ACH,Everyday spend
T00056,2026-04-11,A0003,,Insurer,,607,CARD,Everyday spend
T00057,2026-04-15,,A0003,EMPLOYER PAYROLL,,4230.77,ACH,Salary
T00058,2026-04-16,A0003,,Grocery,,112,CARD,Everyday spend
T00059,2026-04-17,A0003,,Utility Co,,72,ACH,Everyday spend
T00060,2026-04-29,,A0003,EMPLOYER PAYROLL,,4230.77,ACH,Salary
T00061,2026-05-03,A0003,,Grocery,,325,ACH,Everyday spend
T00062,2026-05-08,A0003,,Grocery,,175,ACH,Everyday spend
T00063,2026-05-07,A0003,,Grocery,,866,ACH,Everyday spend
T00064,2026-05-01,A0003,,Streaming,,139,ACH,Everyday spend
T00065,2026-05-13,,A0003,EMPLOYER PAYROLL,,4230.77,ACH,Salary
T00066,2026-05-20,A0003,,Utility Co,,518,CARD,Everyday spend
T00067,2026-05-14,A0003,,Utility Co,,452,ACH,Everyday spend
T00068,2026-05-17,A0003,,Insurer,,236,CARD,Everyday spend
T00069,2026-05-27,,A0003,EMPLOYER PAYROLL,,4230.77,ACH,Salary
T00070,2026-05-30,A0003,,Streaming,,472,CARD,Everyday spend
T00071,2026-06-04,A0003,,Rent,,295,CARD,Everyday spend
T00072,2026-06-05,A0003,,Insurer,,140,CARD,Everyday spend
T00073,2026-06-10,,A0003,EMPLOYER PAYROLL,,4230.77,ACH,Salary
T00074,2026-06-12,A0003,,Grocery,,811,CARD,Everyday spend
T00075,2026-06-17,A0003,,Grocery,,537,ACH,Everyday spend
T00076,2026-06-24,,A0003,EMPLOYER PAYROLL,,4230.77,ACH,Salary
T00077,2026-06-25,A0003,,Utility Co,,208,ACH,Everyday spend
T00078,2026-07-01,A0003,,Streaming,,311,ACH,Everyday spend
T00079,2026-07-01,A0003,,Grocery,,753,ACH,Everyday spend
T00080,2026-04-01,,A0004,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00081,2026-04-09,A0004,,Utility Co,,554,CARD,Everyday spend
T00082,2026-04-10,A0004,,Utility Co,,122,CARD,Everyday spend
T00083,2026-04-11,A0004,,Rent,,109,CARD,Everyday spend
T00084,2026-04-03,A0004,,Insurer,,623,CARD,Everyday spend
T00085,2026-04-15,,A0004,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00086,2026-04-16,A0004,,Rent,,674,CARD,Everyday spend
T00087,2026-04-26,A0004,,Streaming,,637,ACH,Everyday spend
T00088,2026-04-19,A0004,,Grocery,,725,ACH,Everyday spend
T00089,2026-04-20,A0004,,Streaming,,445,CARD,Everyday spend
T00090,2026-04-29,,A0004,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00091,2026-05-05,A0004,,Utility Co,,809,CARD,Everyday spend
T00092,2026-05-07,A0004,,Utility Co,,676,CARD,Everyday spend
T00093,2026-05-08,A0004,,Grocery,,258,ACH,Everyday spend
T00094,2026-05-13,,A0004,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00095,2026-05-15,A0004,,Streaming,,290,ACH,Everyday spend
T00096,2026-05-16,A0004,,Insurer,,488,ACH,Everyday spend
T00097,2026-05-24,A0004,,Insurer,,581,CARD,Everyday spend
T00098,2026-05-27,,A0004,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00099,2026-06-07,A0004,,Streaming,,146,CARD,Everyday spend
T00100,2026-05-29,A0004,,Streaming,,149,CARD,Everyday spend
T00101,2026-06-01,A0004,,Streaming,,659,CARD,Everyday spend
T00102,2026-06-10,,A0004,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00103,2026-06-21,A0004,,Insurer,,689,ACH,Everyday spend
T00104,2026-06-18,A0004,,Utility Co,,297,CARD,Everyday spend
T00105,2026-06-24,,A0004,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00106,2026-07-01,A0004,,Utility Co,,889,ACH,Everyday spend
T00107,2026-06-25,A0004,,Streaming,,381,CARD,Everyday spend
T00108,2026-06-27,A0004,,Insurer,,799,ACH,Everyday spend
T00109,2026-07-06,A0004,,Utility Co,,477,CARD,Everyday spend
T00110,2026-04-01,,A0005,EMPLOYER PAYROLL,,2384.62,ACH,Salary
T00111,2026-04-07,A0005,,Streaming,,855,CARD,Everyday spend
T00112,2026-04-05,A0005,,Utility Co,,738,CARD,Everyday spend
T00113,2026-04-07,A0005,,Insurer,,838,ACH,Everyday spend
T00114,2026-04-15,,A0005,EMPLOYER PAYROLL,,2384.62,ACH,Salary
T00115,2026-04-18,A0005,,Grocery,,282,CARD,Everyday spend
T00116,2026-04-22,A0005,,Streaming,,65,CARD,Everyday spend
T00117,2026-04-22,A0005,,Streaming,,861,CARD,Everyday spend
T00118,2026-04-18,A0005,,Rent,,846,CARD,Everyday spend
T00119,2026-04-29,,A0005,EMPLOYER PAYROLL,,2384.62,ACH,Salary
T00120,2026-05-07,A0005,,Rent,,267,CARD,Everyday spend
T00121,2026-05-05,A0005,,Grocery,,352,CARD,Everyday spend
T00122,2026-05-13,,A0005,EMPLOYER PAYROLL,,2384.62,ACH,Salary
T00123,2026-05-24,A0005,,Streaming,,237,ACH,Everyday spend
T00124,2026-05-18,A0005,,Streaming,,111,ACH,Everyday spend
T00125,2026-05-27,,A0005,EMPLOYER PAYROLL,,2384.62,ACH,Salary
T00126,2026-06-05,A0005,,Utility Co,,449,ACH,Everyday spend
T00127,2026-05-29,A0005,,Insurer,,307,CARD,Everyday spend
T00128,2026-06-01,A0005,,Insurer,,79,CARD,Everyday spend
T00129,2026-06-03,A0005,,Rent,,393,ACH,Everyday spend
T00130,2026-06-10,,A0005,EMPLOYER PAYROLL,,2384.62,ACH,Salary
T00131,2026-06-19,A0005,,Insurer,,158,ACH,Everyday spend
T00132,2026-06-14,A0005,,Rent,,300,CARD,Everyday spend
T00133,2026-06-11,A0005,,Streaming,,572,CARD,Everyday spend
T00134,2026-06-17,A0005,,Insurer,,111,ACH,Everyday spend
T00135,2026-06-24,,A0005,EMPLOYER PAYROLL,,2384.62,ACH,Salary
T00136,2026-07-05,A0005,,Insurer,,167,ACH,Everyday spend
T00137,2026-06-29,A0005,,Streaming,,722,ACH,Everyday spend
T00138,2026-07-01,A0005,,Insurer,,753,ACH,Everyday spend
T00139,2026-04-01,,A0006,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00140,2026-04-06,A0006,,Rent,,333,CARD,Everyday spend
T00141,2026-04-11,A0006,,Rent,,661,ACH,Everyday spend
T00142,2026-04-15,,A0006,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00143,2026-04-23,A0006,,Insurer,,731,CARD,Everyday spend
T00144,2026-04-23,A0006,,Utility Co,,852,CARD,Everyday spend
T00145,2026-04-20,A0006,,Utility Co,,567,ACH,Everyday spend
T00146,2026-04-29,,A0006,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00147,2026-05-10,A0006,,Grocery,,357,CARD,Everyday spend
T00148,2026-05-02,A0006,,Grocery,,65,CARD,Everyday spend
T00149,2026-05-13,,A0006,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00150,2026-05-23,A0006,,Rent,,826,CARD,Everyday spend
T00151,2026-05-20,A0006,,Rent,,684,CARD,Everyday spend
T00152,2026-05-21,A0006,,Grocery,,449,CARD,Everyday spend
T00153,2026-05-27,,A0006,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00154,2026-06-08,A0006,,Rent,,45,CARD,Everyday spend
T00155,2026-05-31,A0006,,Utility Co,,220,ACH,Everyday spend
T00156,2026-06-05,A0006,,Rent,,295,CARD,Everyday spend
T00157,2026-05-30,A0006,,Insurer,,860,ACH,Everyday spend
T00158,2026-06-10,,A0006,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00159,2026-06-20,A0006,,Insurer,,364,ACH,Everyday spend
T00160,2026-06-22,A0006,,Insurer,,556,ACH,Everyday spend
T00161,2026-06-18,A0006,,Rent,,202,ACH,Everyday spend
T00162,2026-06-15,A0006,,Streaming,,809,CARD,Everyday spend
T00163,2026-06-24,,A0006,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00164,2026-07-02,A0006,,Streaming,,681,CARD,Everyday spend
T00165,2026-07-02,A0006,,Grocery,,119,ACH,Everyday spend
T00166,2026-06-29,A0006,,Insurer,,383,ACH,Everyday spend
T00167,2026-06-26,A0006,,Grocery,,181,CARD,Everyday spend
T00168,2026-04-01,,A0007,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00169,2026-04-02,A0007,,Rent,,251,ACH,Everyday spend
T00170,2026-04-11,A0007,,Insurer,,752,CARD,Everyday spend
T00171,2026-04-08,A0007,,Streaming,,528,CARD,Everyday spend
T00172,2026-04-15,,A0007,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00173,2026-04-22,A0007,,Insurer,,895,ACH,Everyday spend
T00174,2026-04-27,A0007,,Rent,,792,CARD,Everyday spend
T00175,2026-04-19,A0007,,Rent,,319,ACH,Everyday spend
T00176,2026-04-29,,A0007,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00177,2026-05-06,A0007,,Grocery,,384,ACH,Everyday spend
T00178,2026-05-07,A0007,,Rent,,170,CARD,Everyday spend
T00179,2026-05-13,,A0007,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00180,2026-05-23,A0007,,Utility Co,,718,CARD,Everyday spend
T00181,2026-05-24,A0007,,Rent,,478,CARD,Everyday spend
T00182,2026-05-16,A0007,,Rent,,91,ACH,Everyday spend
T00183,2026-05-19,A0007,,Streaming,,256,ACH,Everyday spend
T00184,2026-05-27,,A0007,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00185,2026-06-03,A0007,,Streaming,,324,ACH,Everyday spend
T00186,2026-05-29,A0007,,Insurer,,521,CARD,Everyday spend
T00187,2026-05-28,A0007,,Utility Co,,398,CARD,Everyday spend
T00188,2026-06-10,,A0007,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00189,2026-06-11,A0007,,Grocery,,812,CARD,Everyday spend
T00190,2026-06-14,A0007,,Insurer,,899,CARD,Everyday spend
T00191,2026-06-13,A0007,,Rent,,284,CARD,Everyday spend
T00192,2026-06-21,A0007,,Rent,,157,CARD,Everyday spend
T00193,2026-06-24,,A0007,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00194,2026-06-29,A0007,,Grocery,,825,ACH,Everyday spend
T00195,2026-07-04,A0007,,Grocery,,661,CARD,Everyday spend
T00196,2026-06-29,A0007,,Streaming,,150,CARD,Everyday spend
T00197,2026-07-04,A0007,,Rent,,733,ACH,Everyday spend
T00198,2026-04-01,,A0008,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00199,2026-04-11,A0008,,Streaming,,841,CARD,Everyday spend
T00200,2026-04-10,A0008,,Utility Co,,478,ACH,Everyday spend
T00201,2026-04-15,,A0008,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00202,2026-04-26,A0008,,Rent,,389,CARD,Everyday spend
T00203,2026-04-23,A0008,,Streaming,,148,ACH,Everyday spend
T00204,2026-04-26,A0008,,Grocery,,888,ACH,Everyday spend
T00205,2026-04-22,A0008,,Insurer,,220,ACH,Everyday spend
T00206,2026-04-29,,A0008,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00207,2026-05-07,A0008,,Insurer,,516,ACH,Everyday spend
T00208,2026-05-04,A0008,,Utility Co,,370,CARD,Everyday spend
T00209,2026-05-04,A0008,,Rent,,501,CARD,Everyday spend
T00210,2026-05-09,A0008,,Streaming,,664,ACH,Everyday spend
T00211,2026-05-13,,A0008,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00212,2026-05-21,A0008,,Rent,,372,CARD,Everyday spend
T00213,2026-05-17,A0008,,Streaming,,403,ACH,Everyday spend
T00214,2026-05-27,,A0008,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00215,2026-06-06,A0008,,Insurer,,758,ACH,Everyday spend
T00216,2026-05-28,A0008,,Utility Co,,569,CARD,Everyday spend
T00217,2026-05-31,A0008,,Rent,,777,ACH,Everyday spend
T00218,2026-06-10,,A0008,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00219,2026-06-14,A0008,,Rent,,747,ACH,Everyday spend
T00220,2026-06-18,A0008,,Utility Co,,851,CARD,Everyday spend
T00221,2026-06-15,A0008,,Grocery,,266,ACH,Everyday spend
T00222,2026-06-15,A0008,,Rent,,719,ACH,Everyday spend
T00223,2026-06-24,,A0008,EMPLOYER PAYROLL,,3653.85,ACH,Salary
T00224,2026-07-03,A0008,,Insurer,,392,ACH,Everyday spend
T00225,2026-06-30,A0008,,Streaming,,400,ACH,Everyday spend
T00226,2026-06-29,A0008,,Utility Co,,297,CARD,Everyday spend
T00227,2026-07-06,A0008,,Utility Co,,237,ACH,Everyday spend
T00228,2026-04-01,,A0009,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00229,2026-04-05,A0009,,Streaming,,409,CARD,Everyday spend
T00230,2026-04-02,A0009,,Streaming,,765,CARD,Everyday spend
T00231,2026-04-02,A0009,,Grocery,,95,ACH,Everyday spend
T00232,2026-04-15,,A0009,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00233,2026-04-23,A0009,,Insurer,,145,CARD,Everyday spend
T00234,2026-04-20,A0009,,Rent,,520,ACH,Everyday spend
T00235,2026-04-21,A0009,,Streaming,,228,CARD,Everyday spend
T00236,2026-04-23,A0009,,Rent,,156,CARD,Everyday spend
T00237,2026-04-29,,A0009,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00238,2026-05-01,A0009,,Grocery,,630,CARD,Everyday spend
T00239,2026-05-02,A0009,,Utility Co,,870,ACH,Everyday spend
T00240,2026-05-03,A0009,,Insurer,,161,ACH,Everyday spend
T00241,2026-05-13,,A0009,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00242,2026-05-23,A0009,,Rent,,271,ACH,Everyday spend
T00243,2026-05-21,A0009,,Streaming,,344,ACH,Everyday spend
T00244,2026-05-23,A0009,,Insurer,,675,CARD,Everyday spend
T00245,2026-05-25,A0009,,Grocery,,141,CARD,Everyday spend
T00246,2026-05-27,,A0009,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00247,2026-06-07,A0009,,Grocery,,123,CARD,Everyday spend
T00248,2026-05-30,A0009,,Grocery,,605,CARD,Everyday spend
T00249,2026-05-28,A0009,,Insurer,,458,ACH,Everyday spend
T00250,2026-06-10,,A0009,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00251,2026-06-15,A0009,,Streaming,,73,CARD,Everyday spend
T00252,2026-06-22,A0009,,Utility Co,,329,ACH,Everyday spend
T00253,2026-06-21,A0009,,Insurer,,279,ACH,Everyday spend
T00254,2026-06-24,,A0009,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00255,2026-06-28,A0009,,Insurer,,475,CARD,Everyday spend
T00256,2026-06-28,A0009,,Streaming,,703,CARD,Everyday spend
T00257,2026-06-27,A0009,,Grocery,,113,CARD,Everyday spend
T00258,2026-06-29,A0009,,Rent,,649,ACH,Everyday spend
T00259,2026-04-01,,A0010,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00260,2026-04-02,A0010,,Insurer,,482,ACH,Everyday spend
T00261,2026-04-06,A0010,,Grocery,,66,CARD,Everyday spend
T00262,2026-04-12,A0010,,Streaming,,896,CARD,Everyday spend
T00263,2026-04-11,A0010,,Rent,,81,CARD,Everyday spend
T00264,2026-04-15,,A0010,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00265,2026-04-26,A0010,,Grocery,,492,ACH,Everyday spend
T00266,2026-04-25,A0010,,Utility Co,,486,ACH,Everyday spend
T00267,2026-04-23,A0010,,Streaming,,396,ACH,Everyday spend
T00268,2026-04-21,A0010,,Grocery,,726,CARD,Everyday spend
T00269,2026-04-29,,A0010,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00270,2026-05-06,A0010,,Streaming,,750,ACH,Everyday spend
T00271,2026-05-10,A0010,,Rent,,450,CARD,Everyday spend
T00272,2026-05-01,A0010,,Streaming,,362,ACH,Everyday spend
T00273,2026-05-13,,A0010,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00274,2026-05-20,A0010,,Insurer,,566,CARD,Everyday spend
T00275,2026-05-21,A0010,,Grocery,,463,CARD,Everyday spend
T00276,2026-05-27,,A0010,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00277,2026-06-02,A0010,,Rent,,677,ACH,Everyday spend
T00278,2026-05-28,A0010,,Insurer,,248,ACH,Everyday spend
T00279,2026-05-30,A0010,,Rent,,334,ACH,Everyday spend
T00280,2026-05-29,A0010,,Grocery,,69,CARD,Everyday spend
T00281,2026-06-10,,A0010,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00282,2026-06-19,A0010,,Utility Co,,54,ACH,Everyday spend
T00283,2026-06-14,A0010,,Utility Co,,156,ACH,Everyday spend
T00284,2026-06-21,A0010,,Rent,,892,CARD,Everyday spend
T00285,2026-06-24,,A0010,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00286,2026-06-29,A0010,,Rent,,561,ACH,Everyday spend
T00287,2026-07-02,A0010,,Rent,,523,CARD,Everyday spend
T00288,2026-07-03,A0010,,Grocery,,188,ACH,Everyday spend
T00289,2026-07-04,A0010,,Utility Co,,560,CARD,Everyday spend
T00290,2026-04-01,,A0011,EMPLOYER PAYROLL,,4230.77,ACH,Salary
T00291,2026-04-12,A0011,,Rent,,541,CARD,Everyday spend
T00292,2026-04-10,A0011,,Streaming,,535,ACH,Everyday spend
T00293,2026-04-10,A0011,,Rent,,821,ACH,Everyday spend
T00294,2026-04-07,A0011,,Insurer,,233,CARD,Everyday spend
T00295,2026-04-15,,A0011,EMPLOYER PAYROLL,,4230.77,ACH,Salary
T00296,2026-04-19,A0011,,Utility Co,,834,ACH,Everyday spend
T00297,2026-04-21,A0011,,Rent,,802,ACH,Everyday spend
T00298,2026-04-22,A0011,,Rent,,719,CARD,Everyday spend
T00299,2026-04-29,,A0011,EMPLOYER PAYROLL,,4230.77,ACH,Salary
T00300,2026-05-02,A0011,,Utility Co,,554,ACH,Everyday spend
T00301,2026-05-07,A0011,,Utility Co,,142,ACH,Everyday spend
T00302,2026-05-13,,A0011,EMPLOYER PAYROLL,,4230.77,ACH,Salary
T00303,2026-05-16,A0011,,Utility Co,,459,CARD,Everyday spend
T00304,2026-05-21,A0011,,Streaming,,840,ACH,Everyday spend
T00305,2026-05-23,A0011,,Utility Co,,749,ACH,Everyday spend
T00306,2026-05-19,A0011,,Streaming,,730,ACH,Everyday spend
T00307,2026-05-27,,A0011,EMPLOYER PAYROLL,,4230.77,ACH,Salary
T00308,2026-06-08,A0011,,Insurer,,817,ACH,Everyday spend
T00309,2026-05-28,A0011,,Grocery,,672,CARD,Everyday spend
T00310,2026-06-07,A0011,,Grocery,,740,ACH,Everyday spend
T00311,2026-06-08,A0011,,Utility Co,,132,ACH,Everyday spend
T00312,2026-06-10,,A0011,EMPLOYER PAYROLL,,4230.77,ACH,Salary
T00313,2026-06-22,A0011,,Grocery,,142,ACH,Everyday spend
T00314,2026-06-22,A0011,,Utility Co,,346,CARD,Everyday spend
T00315,2026-06-16,A0011,,Streaming,,855,CARD,Everyday spend
T00316,2026-06-16,A0011,,Grocery,,423,ACH,Everyday spend
T00317,2026-06-24,,A0011,EMPLOYER PAYROLL,,4230.77,ACH,Salary
T00318,2026-07-03,A0011,,Grocery,,461,CARD,Everyday spend
T00319,2026-06-27,A0011,,Insurer,,120,ACH,Everyday spend
T00320,2026-04-01,,A0012,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00321,2026-04-06,A0012,,Utility Co,,733,CARD,Everyday spend
T00322,2026-04-09,A0012,,Rent,,393,ACH,Everyday spend
T00323,2026-04-13,A0012,,Streaming,,296,ACH,Everyday spend
T00324,2026-04-15,,A0012,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00325,2026-04-22,A0012,,Grocery,,534,CARD,Everyday spend
T00326,2026-04-22,A0012,,Insurer,,625,ACH,Everyday spend
T00327,2026-04-29,,A0012,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00328,2026-05-11,A0012,,Rent,,342,CARD,Everyday spend
T00329,2026-05-04,A0012,,Insurer,,48,CARD,Everyday spend
T00330,2026-05-11,A0012,,Grocery,,548,ACH,Everyday spend
T00331,2026-05-13,,A0012,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00332,2026-05-19,A0012,,Insurer,,264,CARD,Everyday spend
T00333,2026-05-18,A0012,,Utility Co,,734,CARD,Everyday spend
T00334,2026-05-24,A0012,,Streaming,,701,CARD,Everyday spend
T00335,2026-05-21,A0012,,Grocery,,74,ACH,Everyday spend
T00336,2026-05-27,,A0012,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00337,2026-06-01,A0012,,Grocery,,374,ACH,Everyday spend
T00338,2026-05-31,A0012,,Insurer,,175,ACH,Everyday spend
T00339,2026-06-10,,A0012,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00340,2026-06-15,A0012,,Streaming,,890,CARD,Everyday spend
T00341,2026-06-18,A0012,,Streaming,,865,ACH,Everyday spend
T00342,2026-06-12,A0012,,Grocery,,519,CARD,Everyday spend
T00343,2026-06-14,A0012,,Insurer,,732,ACH,Everyday spend
T00344,2026-06-24,,A0012,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00345,2026-06-26,A0012,,Utility Co,,849,ACH,Everyday spend
T00346,2026-06-29,A0012,,Rent,,589,CARD,Everyday spend
T00347,2026-06-30,A0012,,Insurer,,728,ACH,Everyday spend
T00348,2026-04-01,,A0013,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00349,2026-04-03,A0013,,Streaming,,690,ACH,Everyday spend
T00350,2026-04-12,A0013,,Grocery,,458,CARD,Everyday spend
T00351,2026-04-02,A0013,,Rent,,78,ACH,Everyday spend
T00352,2026-04-03,A0013,,Insurer,,139,CARD,Everyday spend
T00353,2026-04-15,,A0013,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00354,2026-04-22,A0013,,Insurer,,504,ACH,Everyday spend
T00355,2026-04-22,A0013,,Rent,,641,CARD,Everyday spend
T00356,2026-04-29,,A0013,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00357,2026-05-01,A0013,,Insurer,,893,ACH,Everyday spend
T00358,2026-05-06,A0013,,Streaming,,326,CARD,Everyday spend
T00359,2026-05-03,A0013,,Grocery,,494,ACH,Everyday spend
T00360,2026-05-05,A0013,,Insurer,,141,ACH,Everyday spend
T00361,2026-05-13,,A0013,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00362,2026-05-19,A0013,,Streaming,,102,ACH,Everyday spend
T00363,2026-05-17,A0013,,Utility Co,,165,ACH,Everyday spend
T00364,2026-05-24,A0013,,Utility Co,,257,CARD,Everyday spend
T00365,2026-05-19,A0013,,Insurer,,289,CARD,Everyday spend
T00366,2026-05-27,,A0013,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00367,2026-05-29,A0013,,Insurer,,889,CARD,Everyday spend
T00368,2026-05-31,A0013,,Streaming,,872,CARD,Everyday spend
T00369,2026-06-10,,A0013,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00370,2026-06-20,A0013,,Grocery,,42,ACH,Everyday spend
T00371,2026-06-13,A0013,,Grocery,,593,ACH,Everyday spend
T00372,2026-06-24,,A0013,EMPLOYER PAYROLL,,2730.77,ACH,Salary
T00373,2026-07-05,A0013,,Utility Co,,66,CARD,Everyday spend
T00374,2026-06-30,A0013,,Insurer,,848,CARD,Everyday spend
