alert_id,date_generated,account_id,customer_id,rule_code,rule_description,system_score,status,case_id,triage_recommendation,triage_rationale
AL0057,2026-06-03,A0008,C0008,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0058,2026-05-04,A0013,C0013,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0059,2026-05-16,A0034,C0034,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0060,2026-04-21,A0027,C0027,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0061,2026-04-27,A0003,C0003,STRUCT-CASH,Cash activity near reporting threshold,55,New,,,
AL0062,2026-05-01,A0031,C0031,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0063,2026-06-25,A0001,C0001,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0064,2026-06-13,A0006,C0006,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0065,2026-04-12,A0032,C0032,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0066,2026-04-13,A0033,C0033,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0067,2026-05-29,A0017,C0017,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0068,2026-05-30,A0019,C0019,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0069,2026-04-23,A0004,C0004,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0070,2026-05-17,A0003,C0003,RAPID-MOVE,Funds in and out within 72 hours,49,New,,,
AL0071,2026-04-15,A0021,C0021,STRUCT-CASH,Cash activity near reporting threshold,55,New,,,
AL0072,2026-04-02,A0007,C0007,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0073,2026-05-13,A0009,C0009,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0074,2026-06-19,A0023,C0023,STRUCT-CASH,Cash activity near reporting threshold,55,New,,,
AL0075,2026-05-18,A0018,C0018,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0076,2026-04-15,A0022,C0022,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0077,2026-05-29,A0026,C0026,STRUCT-CASH,Cash activity near reporting threshold,55,New,,,
AL0078,2026-06-28,A0018,C0018,STRUCT-CASH,Cash activity near reporting threshold,55,New,,,
AL0079,2026-06-23,A0031,C0031,STRUCT-CASH,Cash activity near reporting threshold,55,New,,,
AL0080,2026-04-17,A0011,C0011,VELOCITY,Elevated transaction count vs 90-day baseline,52,New,,,
AL0081,2026-04-14,A0004,C0004,HIGH-RISK-WIRE,Wire to/from monitored region,57,New,,,
AL0082,2026-05-07,A9001,C9001,STRUCT-CASH,Multiple cash deposits below $10k threshold across branches,88,New,,,
AL0083,2026-05-15,A9001,C9001,STRUCT-CASH,Multiple cash deposits below $10k threshold across branches,88,New,,,
AL0084,2026-05-22,A9001,C9001,STRUCT-CASH,Multiple cash deposits below $10k threshold across branches,88,New,,,
AL0085,2026-06-02,A9100,C9100,HIGH-RISK-WIRE,Large inbound wire from high-risk jurisdiction,82,New,,,
AL0086,2026-06-04,A9100,C9100,RAPID-MOVE,Inbound funds dispersed to multiple parties within 48h,90,New,,,
AL0087,2026-06-05,A9101,C9101,RAPID-MOVE,Pass-through: funds received and wired out within 72h,86,New,,,
AL0088,2026-06-06,A9102,C9102,RAPID-MOVE,Pass-through: funds received and wired out within 72h,86,New,,,
AL0089,2026-06-07,A9103,C9103,RAPID-MOVE,Pass-through: funds received and wired out within 72h,86,New,,,
AL0090,2026-06-05,A9104,C9104,RAPID-MOVE,Pass-through: funds received and wired out within 72h,86,New,,,
